COUNTRY,GDP (BILLIONS),CODE
United States,80.6819306930693,USA
China,80.6819306930693,CHN
Japan,80.6819306930693,JPN
Germany,80.6819306930693,DEU
France,80.6819306930693,FRA
United Kingdom,80.6819306930693,GBR
Brazil,80.6819306930693,BRA
Italy,80.6819306930693,ITA
Russia,80.6819306930693,RUS
India,80.6819306930693,IND
Canada,80.6819306930693,CAN
Australia,80.6819306930693,AUS
"Korea, South",80.6819306930693,KOR
Spain,80.6819306930693,ESP
Mexico,80.6819306930693,MEX
Netherlands,80.6819306930693,NLD
Indonesia,80.6819306930693,IDN
Turkey,80.6819306930693,TUR
Saudi Arabia,80.6819306930693,SAU
Switzerland,80.6819306930693,CHE
Nigeria,594.3,NGA
Sweden,559.1,SWE
Poland,552.2,POL
Argentina,536.2,ARG
Taiwan,529.5,TWN
Belgium,527.8,BEL
Norway,511.6,NOR
Austria,436.1,AUT
United Arab Emirates,416.4,ARE
Iran,402.7,IRN
Colombia,400.1,COL
Thailand,373.8,THA
Denmark,347.2,DNK
South Africa,341.2,ZAF
Malaysia,336.9,MYS
Singapore,307.9,SGP
Israel,305.0,ISR
Sint Maarten,304.1,SXM
Hong Kong,292.7,HKG
Egypt,284.9,EGY
Philippines,284.6,PHL
Finland,276.3,FIN
Chile,264.1,CHL
Greece,246.4,GRC
Ireland,245.8,IRL
Pakistan,237.5,PAK
Iraq,232.2,IRQ
Portugal,228.2,PRT
Algeria,227.8,DZA
Kazakhstan,225.6,KAZ
Qatar,212.0,QAT
Venezuela,209.2,VEN
Peru,208.2,PER
Czech Republic,205.6,CZE
New Zealand,201.0,NZL
Romania,199.0,ROU
Vietnam,187.8,VNM
Bangladesh,186.6,BGD
Kuwait,179.3,KWT
Ukraine,134.9,UKR
Angola,131.4,AGO
Hungary,129.7,HUN
Morocco,112.6,MAR
Ecuador,100.5,ECU
Slovakia,99.75,SVK
Puerto Rico,93.52,PRI
Oman,80.54,OMN
Azerbaijan,77.91,AZE
Cuba,77.15,CUB
Belarus,75.25,BLR
Sri Lanka,71.57,LKA
Sudan,70.03,SDN
Burma,65.29,MMR
Syria,64.7,SYR
Dominican Republic,64.05,DOM
Luxembourg,63.93,LUX
Uzbekistan,63.08,UZB
Kenya,62.72,KEN
Guatemala,58.3,GTM
Croatia,57.18,HRV
Uruguay,55.6,URY
Bulgaria,55.08,BGR
Macau,51.68,MAC
Costa Rica,50.46,CRI
Slovenia,49.93,SVN
